CommunityModel 	OtuIDA 	GenomeIDA 	OtuRowNumber 	OtuIDB 	GenomeIDB 	OtuRowNumber 	Correlation 	Interaction 	InteractionCode
community484018.6X1000569.4.xml 	37 	484018.6 	1 	632 	1000569.4 	17 	-0.2 	Amensalism 	4
community484018.6X1235835.3.xml 	37 	484018.6 	1 	72 	1235835.3 	2 	0.96 	Amensalism 	4
community484018.6X742823.3.xml 	37 	484018.6 	1 	74 	742823.3 	3 	1.0 	Amensalism 	4
community557855.3X525362.3.xml 	405 	557855.3 	14 	557 	525362.3 	16 	0.99 	Neutralism 	8
community657315.3X1469948.3.xml 	18 	657315.3 	0 	331 	1469948.3 	11 	1.0 	Neutralism 	8
community657315.3X29354.3.xml 	18 	657315.3 	0 	310 	29354.3 	10 	0.98 	Amensalism 	4
community657315.3X557855.3.xml 	18 	657315.3 	0 	405 	557855.3 	14 	0.92 	Amensalism 	4
community657315.3X742726.3.xml 	18 	657315.3 	0 	401 	742726.3 	13 	1.0 	Amensalism 	4
community717962.3X1000569.4.xml 	221 	717962.3 	7 	632 	1000569.4 	17 	0.98 	Amensalism 	4
community717962.3X1165092.3.xml 	221 	717962.3 	7 	474 	1165092.3 	15 	0.99 	Amensalism 	4
community717962.3X1297617.3.xml 	221 	717962.3 	7 	243 	1297617.3 	8 	0.99 	Neutralism 	8
community717962.3X1469948.3.xml 	221 	717962.3 	7 	331 	1469948.3 	11 	0.99 	Neutralism 	8
community717962.3X29354.3.xml 	221 	717962.3 	7 	310 	29354.3 	10 	1.0 	Amensalism 	4
community742726.3X1165092.3.xml 	401 	742726.3 	13 	474 	1165092.3 	15 	0.97 	Amensalism 	4
community742726.3X525362.3.xml 	401 	742726.3 	13 	557 	525362.3 	16 	1.0 	Amensalism 	4
community742823.3X1297617.3.xml 	74 	742823.3 	3 	243 	1297617.3 	8 	0.98 	Neutralism 	8
community742823.3X1367212.3.xml 	74 	742823.3 	3 	253 	1367212.3 	9 	1.0 	Amensalism 	4
community1156417.3X717962.3.xml 	112 	1156417.3 	5 	221 	717962.3 	7 	0.96 	Amensalism 	4
community1235835.3X1000569.4.xml 	72 	1235835.3 	2 	632 	1000569.4 	17 	-0.05 	Competition 	4
community1235835.3X1156417.3.xml 	72 	1235835.3 	2 	112 	1156417.3 	5 	-0.1 	Amensalism 	4
community1235835.3X1414720.3.xml 	72 	1235835.3 	2 	109 	1414720.3 	4 	0.97 	Amensalism 	4
community1235835.3X742823.3.xml 	72 	1235835.3 	2 	74 	742823.3 	3 	-0.2 	Amensalism 	4
community1297617.3X1313290.3.xml 	243 	1297617.3 	8 	359 	1313290.3 	12 	0.98 	Competition 	4
community1297617.3X525362.3.xml 	243 	1297617.3 	8 	557 	525362.3 	16 	0.94 	Amensalism 	4
community1313290.3X1000569.4.xml 	359 	1313290.3 	12 	632 	1000569.4 	17 	0.98 	Amensalism 	4
community1313290.3X1165092.3.xml 	359 	1313290.3 	12 	474 	1165092.3 	15 	-0.1 	Amensalism 	4
community1313290.3X525362.3.xml 	359 	1313290.3 	12 	557 	525362.3 	16 	0.99 	Competition 	4
community1367212.3X1000569.4.xml 	253 	1367212.3 	9 	632 	1000569.4 	17 	0.99 	Neutralism 	8
community1367212.3X1165092.3.xml 	253 	1367212.3 	9 	474 	1165092.3 	15 	1.0 	Neutralism 	8
community1367212.3X29354.3.xml 	253 	1367212.3 	9 	310 	29354.3 	10 	0.94 	Competition 	4
community1367212.3X525362.3.xml 	253 	1367212.3 	9 	557 	525362.3 	16 	0.98 	Neutralism 	8
community1367212.3X557855.3.xml 	253 	1367212.3 	9 	405 	557855.3 	14 	1.0 	Amensalism 	4
community1367212.3X742726.3.xml 	253 	1367212.3 	9 	401 	742726.3 	13 	0.99 	Amensalism 	4
community1414720.3X1313290.3.xml 	109 	1414720.3 	4 	359 	1313290.3 	12 	1.0 	Neutralism 	8
community1414720.3X1469948.3.xml 	109 	1414720.3 	4 	331 	1469948.3 	11 	1.0 	Neutralism 	8
community1414720.3X557855.3.xml 	109 	1414720.3 	4 	405 	557855.3 	14 	0.92 	Amensalism 	4
community1469948.3X1313290.3.xml 	331 	1469948.3 	11 	359 	1313290.3 	12 	1.0 	Neutralism 	8
community1469948.3X557855.3.xml 	331 	1469948.3 	11 	405 	557855.3 	14 	-0.2 	Amensalism 	4
community180332.3X1297617.3.xml 	150 	180332.3 	6 	243 	1297617.3 	8 	0.97 	Neutralism 	8
community180332.3X557855.3.xml 	150 	180332.3 	6 	405 	557855.3 	14 	-0.05 	Amensalism 	4
community180332.3X742726.3.xml 	150 	180332.3 	6 	401 	742726.3 	13 	-0.1 	Amensalism 	4
community29354.3X1469948.3.xml 	310 	29354.3 	10 	331 	1469948.3 	11 	0.92 	Competition 	4
community29354.3X525362.3.xml 	310 	29354.3 	10 	557 	525362.3 	16 	0.94 	Amensalism 	4
community29354.3X742726.3.xml 	310 	29354.3 	10 	401 	742726.3 	13 	0.91 	Amensalism 	4
community484018.6X1000569.4.xml 	37 	484018.6 	1 	632 	1000569.4 	17 	-0.2 	Amensalism 	4
community484018.6X1235835.3.xml 	37 	484018.6 	1 	72 	1235835.3 	2 	0.96 	Amensalism 	4
community484018.6X742823.3.xml 	37 	484018.6 	1 	74 	742823.3 	3 	1.0 	Amensalism 	4
community557855.3X525362.3.xml 	405 	557855.3 	14 	557 	525362.3 	16 	0.99 	Neutralism 	8
community657315.3X1469948.3.xml 	18 	657315.3 	0 	331 	1469948.3 	11 	1.0 	Neutralism 	8
community657315.3X29354.3.xml 	18 	657315.3 	0 	310 	29354.3 	10 	0.98 	Amensalism 	4
community657315.3X557855.3.xml 	18 	657315.3 	0 	405 	557855.3 	14 	0.92 	Amensalism 	4
community657315.3X742726.3.xml 	18 	657315.3 	0 	401 	742726.3 	13 	1.0 	Amensalism 	4
community717962.3X1000569.4.xml 	221 	717962.3 	7 	632 	1000569.4 	17 	0.98 	Amensalism 	4
community717962.3X1165092.3.xml 	221 	717962.3 	7 	474 	1165092.3 	15 	0.99 	Amensalism 	4
community717962.3X1297617.3.xml 	221 	717962.3 	7 	243 	1297617.3 	8 	0.99 	Neutralism 	8
community717962.3X1469948.3.xml 	221 	717962.3 	7 	331 	1469948.3 	11 	0.99 	Neutralism 	8
community717962.3X29354.3.xml 	221 	717962.3 	7 	310 	29354.3 	10 	1.0 	Amensalism 	4
community742726.3X1165092.3.xml 	401 	742726.3 	13 	474 	1165092.3 	15 	0.97 	Amensalism 	4
community742726.3X525362.3.xml 	401 	742726.3 	13 	557 	525362.3 	16 	1.0 	Amensalism 	4
community742823.3X1297617.3.xml 	74 	742823.3 	3 	243 	1297617.3 	8 	0.98 	Neutralism 	8
community742823.3X1367212.3.xml 	74 	742823.3 	3 	253 	1367212.3 	9 	1.0 	Amensalism 	4
